name,ric,rank,esg,environmental,social,governance
stmicroelectronics nv,STM.PA,1 / 232,94,94,94,93
hangzhou silan microelectronics co ltd,600460.SS,208 / 232,17,27,13,11
trend micro inc,4704.T,165 / 813,57,20,77,50
sg micro corp,300661.SZ,168 / 232,30,16,20,64
micro focus international plc,MCRO.L,144 / 813,58,72,54,58
hana microelectronics pcl,HANA.BK,93 / 232,51,32,70,42
microsoft corp,MSFT.O,2 / 813,94,78,98,95
microvision inc,MVIS.O,112 / 120,14,0,23,21
smith micro software inc,SMSI.O,663 / 813,23,0,29,24
novatek microelectronics corp,3034.TW,135 / 232,39,19,35,72
micro-star international co ltd,2377.TW,24 / 110,62,56,74,48
super micro computer inc,SMCI.O,58 / 110,42,33,50,34
advanced micro devices inc,AMD.O,47 / 232,65,66,70,56
tongfu microelectronics co ltd,002156.SZ,194 / 232,23,11,16,50
suess microtec se,SMHNn.DE,108 / 232,47,10,53,81
allegro microsystems inc,ALGM.O,130 / 232,41,43,58,10
micron technology inc,MU.O,27 / 232,73,64,81,69
advanced micro-fabrication equipment inc china,688012.SS, / ,34,39,34,29
micro systemation ab (publ),MSABb.ST,15 / 17,11,0,7,28
tianma microelectronics co ltd,000050.SZ,40 / 120,53,56,53,48
microport scientific corp,0853.HK,69 / 329,60,52,73,46
china resources microelectronics ltd,688396.SS,82 / 232,54,58,72,21
unigroup guoxin microelectronics co ltd,002049.SZ,195 / 232,23,0,15,63
unimicron technology corp,3037.TW,41 / 232,67,63,72,65
changsha jingjia microelectronics co ltd,300474.SZ,108 / 109,10,0,5,24
united microelectronics corp,2303.TW,5 / 232,84,73,92,82
microstrategy inc,MSTR.O,732 / 813,19,0,35,11
microchip technology inc,MCHP.O,62 / 232,60,60,63,54
maxscend microelectronics co ltd,300782.SZ,158 / 232,33,18,14,82
